time;speed;acc
0.00;0.06;-0.07
0.06;0.06;-0.05
0.11;0.05;-0.03
0.17;0.06;-0.02
0.22;0.06;-0.00
0.28;0.06;0.01
0.33;0.06;0.02
0.38;0.07;0.02
0.44;0.07;0.02
0.50;0.07;0.02
0.55;0.07;0.02
0.61;0.07;0.03
0.66;0.07;0.03
0.72;0.07;0.03
0.77;0.07;0.02
0.83;0.08;0.02
0.88;0.08;0.02
0.94;0.08;0.01
0.99;0.08;0.01
1.05;0.08;0.00
1.10;0.08;-0.00
1.16;0.08;-0.01
1.21;0.07;-0.01
1.27;0.07;-0.01
1.32;0.08;-0.01
1.38;0.08;-0.01
1.43;0.08;-0.01
1.49;0.07;-0.01
1.54;0.07;-0.01
1.60;0.07;-0.01
1.65;0.07;-0.01
1.71;0.07;-0.00
1.76;0.07;0.00
1.82;0.07;0.01
1.87;0.07;0.02
1.93;0.07;0.04
1.98;0.07;0.05
2.04;0.08;0.06
2.09;0.08;0.08
2.14;0.09;0.09
2.20;0.09;0.10
2.26;0.10;0.11
2.31;0.11;0.11
2.37;0.11;0.11
2.42;0.12;0.11
2.48;0.13;0.10
2.53;0.14;0.09
2.59;0.14;0.08
2.64;0.15;0.07
2.70;0.15;0.07
2.75;0.15;0.07
2.81;0.15;0.08
2.86;0.15;0.10
2.92;0.15;0.12
2.97;0.15;0.15
3.03;0.17;0.17
3.08;0.19;0.19
3.13;0.21;0.19
3.19;0.23;0.19
3.25;0.24;0.17
3.30;0.25;0.13
3.36;0.25;0.09
3.41;0.26;0.04
3.47;0.25;-0.02
3.52;0.25;-0.08
3.58;0.24;-0.13
3.63;0.23;-0.18
3.69;0.22;-0.22
3.74;0.20;-0.25
3.80;0.18;-0.27
3.85;0.16;-0.27
3.91;0.14;-0.27
3.96;0.12;-0.26
4.02;0.11;-0.23
4.07;0.09;-0.20
4.12;0.08;-0.15
4.18;0.08;-0.10
4.24;0.07;-0.04
4.29;0.07;0.02
4.35;0.07;0.07
4.40;0.08;0.10
4.46;0.10;0.12
4.51;0.12;0.12
4.57;0.14;0.09
4.62;0.16;0.05
4.68;0.16;-0.00
4.73;0.15;-0.06
4.79;0.13;-0.12
4.84;0.11;-0.17
4.89;0.09;-0.19
4.95;0.07;-0.21
5.01;0.05;-0.20
5.06;0.04;-0.18
5.12;0.04;-0.14
5.17;0.03;-0.11
5.23;0.03;-0.07
5.28;0.03;-0.04
5.34;0.04;-0.02
5.39;0.04;0.00
5.45;0.04;0.02
5.50;0.04;0.03
5.56;0.04;0.04
5.61;0.04;0.05
5.67;0.05;0.07
5.72;0.05;0.08
5.78;0.05;0.09
5.83;0.06;0.11
5.88;0.07;0.11
5.94;0.08;0.11
6.00;0.09;0.10
6.05;0.10;0.08
6.11;0.11;0.06
6.16;0.11;0.02
6.22;0.11;-0.01
